Comment,Description,Designator,Quantity,LCSC Part #

"10uF","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603","C1","1",""
"2.2uF","CAP CER 2.2UF 25V X5R 0603","C2","1",""
"100nF","CAP 100nF SM0603 X7R 50V YAGEO CC2","C3","1",""
"47pF","CAP 47pF SM0603 NPO 50V YAGEO CC2","C4","1",""
"100uF","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 100uF, Surface Mount, 1206","C5","1",""
"100pF","","C6","1",""
"100pF","","C7","1",""
"100pF","","C8","1",""
"Capacitor","Capacitor","C9","1","C107107"
"Capacitor","Capacitor","C10","1","C107107"
"Capacitor","Capacitor","C11","1","C107107"
"Capacitor","Capacitor","C12","1","C107107"
"Capacitor","Capacitor","C13","1","C107107"
"Capacitor","Capacitor","C14","1","C107107"
"100nF","CAP 100nF SM0603 X7R 50V YAGEO CC2","C15","1",""
"10uF","Ceramic Capacitor, Multilayer, Ceramic, 35V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603","C16","1",""
"Capacitor","Capacitor","C17","1","C107107"
"Capacitor","Capacitor","C18","1","C107107"
"Capacitor","Capacitor","C19","1","C107107"
"Capacitor","Capacitor","C20","1","C107107"
"Capacitor","Capacitor","C21","1","C107107"
"Capacitor","Capacitor","C22","1","C107107"
"75pF","CAP 75pF SM0603 NPO 50V YAGEO CC2","C23","1",""
"100uF","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 100uF, Surface Mount, 1206","C24","1",""
"47uF","CAP 47uF SM0603 X5R 4V YAGEO CC2","C25","1",""
"Capacitor","Capacitor","C26","1","C107107"
"Capacitor","Capacitor","C27","1","C107107"
"Capacitor","Capacitor","C28","1","C107107"
"Capacitor","Capacitor","C29","1","C107107"
"Capacitor","Capacitor","C30","1","C107107"
"Capacitor","Capacitor","C31","1","C107107"
"470nF","SMD/SMT CGA 0603 50V 0.47uF X7R 10% AEC-Q200","C32","1",""
"47uF","47uF 10V Tantalum Capacitor For LM3940IMPX-3.3_NOPB LDO","C33","1",""
"Capacitor","Capacitor","C34","1","C107107"
"Capacitor","Capacitor","C35","1","C107107"
"Capacitor","Capacitor","C36","1","C107107"
"Capacitor","Capacitor","C37","1","C107107"
"Capacitor","Capacitor","C38","1","C107107"
"Capacitor","Capacitor","C39","1","C107107"
"2.2uF","CAP CER 2.2UF 25V X5R 0603","C40","1",""
"SMAJ30CA","Transient Voltage Suppression Diode, 30 V, -65 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel","D1","1",""
"SBRT15U50SP5-13","Reverse Polarity Protection","D2","1",""
"500mA","FUSE BOARD MNT 500MA 50VDC 0603","F1","1",""
"LM3940IMPX-3.3_NOPB","3V3 LDO","IC1","1",""
"690367282476","","J1","1","C5362158"
"XT60-M","Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V","J2","1",""
"690367282476","","J3","1","C5362158"
"TMM-102-03-F-S","CONN HEADER VERT 2POS 2MM","J34","1",""
"SRP5030TA-100M, 10uH","10 uH Inductor","L1","1",""
"6.8uH","6.8uH Inductor","L2","1",""
"DEV-16996","TEENSY 4.1 (HEADERS)","MD1","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q1","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q2","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q3","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q4","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q5","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q6","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q7","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q8","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q9","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q10","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q11","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q12","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q13","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q14","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q15","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q16","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q17","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q18","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q19","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q20","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q21","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q22","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q23","1",""
"DMP2004K-7","MOSFET P-CH 20V 600MA SOT23-3","Q24","1",""
"Resistor","Resistor","R1","1",""
"Resistor","Resistor","R2","1",""
"Resistor","Resistor","R3","1",""
"Resistor","Resistor","R4","1",""
"Resistor","Resistor","R5","1",""
"Resistor","Resistor","R6","1",""
"Resistor","Resistor","R7","1",""
"Resistor","Resistor","R8","1",""
"Resistor","Resistor","R9","1",""
"Resistor","Resistor","R10","1",""
"51k 0.1%","RES 51K 0.1% SM0603 YAGEO RC_L","R11","1",""
"Resistor","Resistor","R12","1",""
"Resistor","Resistor","R13","1",""
"Resistor","Resistor","R14","1",""
"Resistor","Resistor","R15","1",""
"Resistor","Resistor","R16","1",""
"88K7","RES 88K7 SM0603 YAGEO RC_L","R17","1",""
"22K1","RES 22K1 SM0603 YAGEO RC_L","R18","1",""
"22k1 0.1%","RES 22K1 0.1% SM0603 YAGEO RC_L","R19","1",""
"Resistor","Resistor","R20","1",""
"Resistor","Resistor","R21","1",""
"Resistor","Resistor","R22","1",""
"Resistor","Resistor","R23","1",""
"Resistor","Resistor","R24","1",""
"Resistor","Resistor","R25","1",""
"Resistor","Resistor","R26","1",""
"Resistor","Resistor","R27","1",""
"Resistor","Resistor","R28","1",""
"Resistor","Resistor","R29","1",""
"Resistor","Resistor","R30","1",""
"Resistor","Resistor","R31","1",""
"Resistor","Resistor","R32","1",""
"Resistor","Resistor","R33","1",""
"LMR23630-Q1","Buck Converter","U1","1",""
"74HC595D,118","IC SHIFT REGISTER 8BIT 16SOIC","U7","1",""
"74HC595D,118","IC SHIFT REGISTER 8BIT 16SOIC","U8","1",""
"LMR23630-Q1","Buck Converter","U9","1",""
"74HC595D,118","IC SHIFT REGISTER 8BIT 16SOIC","U10","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U11","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U12","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U13","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U14","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U15","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U16","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U17","1",""
"MCP3008T-I/SL","IC ADC 10BIT SAR 16SOIC","U18","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U19","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U20","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U21","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U22","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U23","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U24","1",""
"MCP3008T-I/SL","IC ADC 10BIT SAR 16SOIC","U26","1",""
"MCP3008T-I/SL","IC ADC 10BIT SAR 16SOIC","U27","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U28","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U29","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U30","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U31","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U32","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U33","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U34","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U35","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U36","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U37","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U38","1",""
"Ideal Operational Amplifier","Ideal Operational Amplifier","U39","1",""
